,rank,artist,song,rank_last_week,peak_rank,weeks_on_chart,date,week
4427,28,Morgan Wallen,More Than My Hometown,30,28,19,2020-11-07,45
4428,29,Jameson Rodgers,Some Girls,34,29,11,2020-11-07,45
4429,30,Shawn Mendes,Wonder,22,18,3,2020-11-07,45
4430,31,Harry Styles,Adore You,25,6,46,2020-11-07,45
4431,32,Pop Smoke Featuring 50 Cent & Roddy Ricch,The Woo,38,11,16,2020-11-07,45
4432,33,SAINt JHN,Roses,31,4,31,2020-11-07,45
4433,34,Dua Lipa,Break My Heart,27,13,30,2020-11-07,45
4434,35,Sada Baby Featuring Nicki Minaj,Whole Lotta Choppas,0,35,2,2020-11-07,45
4435,36,Dua Lipa,Don't Start Now,35,2,51,2020-11-07,45
4436,37,HARDY Featuring Lauren Alaina & Devin Dawson,One Beer,41,37,20,2020-11-07,45
4437,38,Rod Wave Featuring ATR Son Son,Rags2Riches,39,12,17,2020-11-07,45
4438,39,Travis Scott Featuring Young Thug & M.I.A.,Franchise,23,1,4,2020-11-07,45
4439,40,Pop Smoke Featuring Lil Tjay,Mood Swings,37,17,16,2020-11-07,45
4440,41,Russell Dickerson,Love You Like I Used To,51,41,7,2020-11-07,45
4441,42,21 Savage & Metro Boomin Featuring Drake,Mr. Right Now,24,10,3,2020-11-07,45
4442,43,Dan + Shay,I Should Probably Go To Bed,44,42,12,2020-11-07,45
4443,44,Parker McCollum,Pretty Heart,47,44,15,2020-11-07,45
4444,45,Luke Combs,Lovin' On You,42,23,17,2020-11-07,45
4445,46,DJ Khaled Featuring Drake,Popstar,40,3,14,2020-11-07,45
4446,47,Dua Lipa Featuring DaBaby,Levitating,54,47,3,2020-11-07,45
4447,48,Miley Cyrus,Midnight Sky,50,14,10,2020-11-07,45
4448,49,Blake Shelton Featuring Gwen Stefani,Happy Anywhere,45,45,13,2020-11-07,45
4449,50,21 Savage & Metro Boomin,Runnin,36,9,3,2020-11-07,45
4450,51,Money Man Featuring Lil Baby,24,49,49,10,2020-11-07,45
4451,52,Yung Bleu Featuring Drake,You're Mines Still,0,52,1,2020-11-07,45
4452,53,Saweetie,Tap In,46,20,15,2020-11-07,45
4453,54,Machine Gun Kelly X blackbear,My Ex's Best Friend,48,28,10,2020-11-07,45
4454,55,Juice WRLD,Wishing Well,52,5,15,2020-11-07,45
4455,56,Matt Stell,Everywhere But On,62,56,7,2020-11-07,45
4456,57,Luke Combs,Better Together,69,57,3,2020-11-07,45
4457,58,Tate McRae,You Broke Me First.,57,57,9,2020-11-07,45
4458,59,Maluma & The Weeknd,Hawai,55,55,9,2020-11-07,45
4459,60,Sam Smith,Diamonds,59,51,5,2020-11-07,45
4460,61,Morgan Wallen,7 Summers,56,6,10,2020-11-07,45
4461,62,Jon Pardi,Ain't Always The Cowboy,61,61,8,2020-11-07,45
4462,63,Megan Thee Stallion Featuring Young Thug,Don't Stop,53,30,3,2020-11-07,45
4463,64,Conan Gray,Heather,60,46,10,2020-11-07,45
4464,65,Chris Stapleton,Starting Over,64,57,8,2020-11-07,45
4465,66,SZA Featuring Ty Dolla $ign,Hit Different,66,29,7,2020-11-07,45
4466,67,Polo G,Martin & Gina,67,61,12,2020-11-07,45
"4467,68,Chris Lane,""Big, Big Plans"",78,68,3,2020-11-07,45"
4468,69,Jhene Aiko Featuring H.E.R.,B.S.,76,24,12,2020-11-07,45
4469,70,Ne-Yo & Jeremih,U 2 Luv,80,70,3,2020-11-07,45
4470,71,G-Eazy Featuring blackbear,Hate The Way,0,71,1,2020-11-07,45
4471,72,Lil Baby,The Bigger Picture,68,3,19,2020-11-07,45
"4472,73,""Sech, Daddy Yankee & J Balvin Featuring ROSALIA & Farruko"",Relacion,75,64,7,2020-11-07,45"
4473,74,Niko Moon,Good Time,84,74,3,2020-11-07,45
4474,75,Chloe X Halle,Do It,77,63,10,2020-11-07,45
4475,76,DJ Khaled Featuring Drake,Greece,71,8,14,2020-11-07,45
4476,77,YoungBoy Never Broke Again,Kacey Talk,82,50,10,2020-11-07,45
4477,78,DaBaby Featuring Young Thug,Blind,83,78,5,2020-11-07,45
4478,79,Ritt Momney,Put Your Records On,93,79,3,2020-11-07,45
4479,80,Marshmello & Demi Lovato,OK Not To Be OK,70,36,6,2020-11-07,45
4480,81,Larray,Canceled,0,81,1,2020-11-07,45
4481,82,21 Savage & Metro Boomin,Glock In My Lap,63,19,3,2020-11-07,45
"4482,83,""J Balvin, Dua Lipa, Bad Bunny & Tainy"",Un Dia (One Day),73,63,13,2020-11-07,45"
4483,84,BLACKPINK X Selena Gomez,Ice Cream,72,13,8,2020-11-07,45
4484,85,Kenny Chesney,Happy Does,0,85,1,2020-11-07,45
4485,86,Juice WRLD & The Weeknd,Smile,89,8,10,2020-11-07,45
4486,87,Topic & A7S,Breaking Me,79,53,13,2020-11-07,45
4487,88,Taylor Swift,Cardigan,85,1,13,2020-11-07,45
4488,89,Megan Thee Stallion,Girls In The Hood,87,28,17,2020-11-07,45
4489,90,Lil Durk Featuring Lil Baby & Polo G,3 Headed Goat,96,43,16,2020-11-07,45
4490,91,Tim McGraw,I Called Mama,81,53,12,2020-11-07,45
4491,92,Machine Gun Kelly,Bloody Valentine,86,50,4,2020-11-07,45
4492,93,BRS Kash,Throat Baby (Go Baby),0,93,1,2020-11-07,45
4493,94,Kelsea Ballerini,Hole In The Bottle,95,94,2,2020-11-07,45
4494,95,Nio Garcia x Anuel AA x Myke Towers x Brray x Juanka,La Jeepeta,97,93,10,2020-11-07,45
4495,96,Ozuna x Karol G x Myke Towers,Caramelo,90,76,10,2020-11-07,45
4496,97,T.I. Featuring Lil Baby,Pardon,0,97,1,2020-11-07,45
4497,98,Keith Urban Duet With P!nk,One Too Many,99,62,4,2020-11-07,45
4498,99,Gunna Featuring Young Thug,Dollaz On My Head,91,38,19,2020-11-07,45
4499,100,Lady A,Champagne Night,0,100,1,2020-11-07,45
4500,1,Ariana Grande,Positions,0,1,1,2020-11-14,46
4501,2,Luke Combs,Forever After All,0,2,1,2020-11-14,46
4502,3,24kGoldn Featuring iann dior,Mood,1,1,12,2020-11-14,46
4503,4,Drake Featuring Lil Durk,Laugh Now Cry Later,3,2,11,2020-11-14,46
4504,5,The Weeknd,Blinding Lights,4,1,48,2020-11-14,46
4505,6,Gabby Barrett Featuring Charlie Puth,I Hope,6,6,44,2020-11-14,46
4506,7,Cardi B Featuring Megan Thee Stallion,WAP,2,1,12,2020-11-14,46
4507,8,Jawsh 685 x Jason Derulo,Savage Love (Laxed - Siren Beat),5,1,20,2020-11-14,46
4508,9,Internet Money & Gunna Featuring Don Toliver & NAV,Lemonade,10,9,11,2020-11-14,46
4509,10,Justin Bieber Featuring Chance The Rapper,Holy,9,3,6,2020-11-14,46
4510,11,DaBaby Featuring Roddy Ricch,Rockstar,8,1,28,2020-11-14,46
4511,12,BTS,Dynamite,7,1,10,2020-11-14,46
4512,13,Lewis Capaldi,Before You Go,12,9,39,2020-11-14,46
4513,14,Pop Smoke Featuring Lil Baby & DaBaby,For The Night,13,6,17,2020-11-14,46
4514,15,Harry Styles,Watermelon Sugar,11,1,32,2020-11-14,46
4515,16,Chris Brown & Young Thug,Go Crazy,15,9,25,2020-11-14,46
4516,17,Moneybagg Yo,Said Sum,23,17,17,2020-11-14,46
4517,18,Post Malone,Circles,19,1,61,2020-11-14,46
4518,19,Kane Brown With Swae Lee & Khalid,Be Like That,20,19,16,2020-11-14,46
"4519,20,""Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne"",Whats Poppin,18,2,38,2020-11-14,46"
4520,21,Jason Aldean,Got What I Got,16,16,22,2020-11-14,46
4521,22,Ava Max,Kings & Queens,24,22,12,2020-11-14,46
4522,23,Morgan Wallen,More Than My Hometown,28,23,20,2020-11-14,46
4523,24,Juice WRLD x Marshmello,Come & Go,22,2,16,2020-11-14,46
4524,25,surf mesa Featuring Emilee,ily,27,25,23,2020-11-14,46
4525,26,Lee Brice,One Of Them Girls,17,17,22,2020-11-14,46
4526,27,Justin Bieber & benny blanco,Lonely,14,14,2,2020-11-14,46
4527,28,AJR,Bang!,26,26,17,2020-11-14,46
4528,29,Pop Smoke,What You Know Bout Love,25,25,8,2020-11-14,46
4529,30,Luke Combs,Better Together,57,30,4,2020-11-14,46
4530,31,Harry Styles,Adore You,31,6,47,2020-11-14,46
4531,32,Shawn Mendes,Wonder,30,18,4,2020-11-14,46
4532,33,Fleetwood Mac,Dreams,21,1,23,2020-11-14,46
4533,34,Jack Harlow,Tyler Herro,0,34,1,2020-11-14,46
4534,35,Pop Smoke Featuring 50 Cent & Roddy Ricch,The Woo,32,11,17,2020-11-14,46
4535,36,HARDY Featuring Lauren Alaina & Devin Dawson,One Beer,37,36,21,2020-11-14,46
4536,37,Russell Dickerson,Love You Like I Used To,41,37,8,2020-11-14,46
4537,38,Dua Lipa,Don't Start Now,36,2,52,2020-11-14,46
4538,39,SAINt JHN,Roses,33,4,32,2020-11-14,46
4539,40,Rod Wave Featuring ATR Son Son,Rags2Riches,38,12,18,2020-11-14,46
4540,41,Luke Combs,Lovin' On You,45,23,18,2020-11-14,46
4541,42,Dua Lipa Featuring DaBaby,Levitating,47,42,4,2020-11-14,46
4542,43,Parker McCollum,Pretty Heart,44,43,16,2020-11-14,46
4543,44,Dua Lipa,Break My Heart,34,13,31,2020-11-14,46
4544,45,Jameson Rodgers,Some Girls,29,29,12,2020-11-14,46
4545,46,Blake Shelton Featuring Gwen Stefani,Happy Anywhere,49,45,14,2020-11-14,46
4546,47,Pop Smoke Featuring Lil Tjay,Mood Swings,40,17,17,2020-11-14,46
4547,48,Matt Stell,Everywhere But On,56,48,8,2020-11-14,46
4548,49,21 Savage & Metro Boomin Featuring Drake,Mr. Right Now,42,10,4,2020-11-14,46
4549,50,Dan + Shay,I Should Probably Go To Bed,43,42,13,2020-11-14,46
4550,51,Travis Scott Featuring Young Thug & M.I.A.,Franchise,39,1,5,2020-11-14,46
4551,52,Money Man Featuring Lil Baby,24,51,49,11,2020-11-14,46
4552,53,Ty Dolla $ign Featuring Post Malone,Spicy,0,53,1,2020-11-14,46
4553,54,DJ Khaled Featuring Drake,Popstar,46,3,15,2020-11-14,46
4554,55,Tate McRae,You Broke Me First.,58,55,10,2020-11-14,46
4555,56,Miley Cyrus,Midnight Sky,48,14,11,2020-11-14,46
4556,57,Machine Gun Kelly X blackbear,My Ex's Best Friend,54,28,11,2020-11-14,46
4557,58,Sam Smith,Diamonds,60,51,6,2020-11-14,46
4558,59,Saweetie,Tap In,53,20,16,2020-11-14,46
4559,60,Morgan Wallen,7 Summers,61,6,11,2020-11-14,46
4560,61,21 Savage & Metro Boomin,Runnin,50,9,4,2020-11-14,46
4561,62,Juice WRLD,Wishing Well,55,5,16,2020-11-14,46
4562,63,Chris Stapleton,Starting Over,65,57,9,2020-11-14,46
4563,64,Maluma & The Weeknd,Hawai,59,55,10,2020-11-14,46
4564,65,Jon Pardi,Ain't Always The Cowboy,62,61,9,2020-11-14,46
4565,66,Ne-Yo & Jeremih,U 2 Luv,70,66,4,2020-11-14,46
"4566,67,Chris Lane,""Big, Big Plans"",68,67,4,2020-11-14,46"
4567,68,SZA Featuring Ty Dolla $ign,Hit Different,66,29,8,2020-11-14,46
4568,69,Luke Combs,The Other Guy,0,69,1,2020-11-14,46
4569,70,H.E.R.,Damage,0,70,1,2020-11-14,46
4570,71,Conan Gray,Heather,64,46,11,2020-11-14,46
4571,72,Megan Thee Stallion Featuring Young Thug,Don't Stop,63,30,4,2020-11-14,46
4572,73,Polo G,Martin & Gina,67,61,13,2020-11-14,46
4573,74,Harry Styles,Golden,0,74,2,2020-11-14,46
4574,75,Jhene Aiko Featuring H.E.R.,B.S.,69,24,13,2020-11-14,46
4575,76,Saweetie Featuring Jhene Aiko,Back To The Streets,0,76,1,2020-11-14,46
4576,77,The Kid LAROI,So Done,0,77,1,2020-11-14,46
4577,78,Luke Combs Featuring Amanda Shires,Without You,0,70,2,2020-11-14,46
"4578,79,""Sech, Daddy Yankee & J Balvin Featuring ROSALIA & Farruko"",Relacion,73,64,8,2020-11-14,46"
4579,80,Ritt Momney,Put Your Records On,79,79,4,2020-11-14,46
4580,81,Niko Moon,Good Time,74,74,4,2020-11-14,46
4581,82,Lil Baby,The Bigger Picture,72,3,20,2020-11-14,46
4582,83,DaBaby Featuring Young Thug,Blind,78,78,6,2020-11-14,46
4583,84,Luke Combs,Cold As You,0,84,1,2020-11-14,46
4584,85,YoungBoy Never Broke Again,Kacey Talk,77,50,11,2020-11-14,46
4585,86,DaBaby,Practice,0,86,1,2020-11-14,46
4586,87,Kelsea Ballerini,Hole In The Bottle,94,87,3,2020-11-14,46
4587,88,Sada Baby Featuring Nicki Minaj,Whole Lotta Choppas,35,35,3,2020-11-14,46
4588,89,Yung Bleu Featuring Drake,You're Mines Still,52,52,2,2020-11-14,46
4589,90,Lady A,Champagne Night,100,90,2,2020-11-14,46
4590,91,DJ Khaled Featuring Drake,Greece,76,8,15,2020-11-14,46
4591,92,Kenny Chesney,Happy Does,85,85,2,2020-11-14,46
4592,93,BRS Kash,Throat Baby (Go Baby),93,93,2,2020-11-14,46
"4593,94,""J Balvin, Dua Lipa, Bad Bunny & Tainy"",Un Dia (One Day),83,63,14,2020-11-14,46"
4594,95,Chloe X Halle,Do It,75,63,11,2020-11-14,46
4595,96,Taylor Swift,Cardigan,88,1,14,2020-11-14,46
4596,97,Machine Gun Kelly & Halsey,Forget Me Too,0,44,3,2020-11-14,46
4597,98,Farruko,La Toxica,0,98,1,2020-11-14,46
4598,99,Joel Corry X MNEK,Head & Heart,0,99,1,2020-11-14,46
"4599,100,Little Big Town,""Wine, Beer, Whiskey"",0,100,1,2020-11-14,46"
4600,1,24kGoldn Featuring iann dior,Mood,3,1,13,2020-11-21,47
4601,2,Ariana Grande,Positions,1,1,2,2020-11-21,47
4602,3,Drake Featuring Lil Durk,Laugh Now Cry Later,4,2,12,2020-11-21,47
4603,4,The Weeknd,Blinding Lights,5,1,49,2020-11-21,47
4604,5,Gabby Barrett Featuring Charlie Puth,I Hope,6,5,45,2020-11-21,47
4605,6,Jawsh 685 x Jason Derulo,Savage Love (Laxed - Siren Beat),8,1,21,2020-11-21,47
4606,7,Internet Money & Gunna Featuring Don Toliver & NAV,Lemonade,9,7,12,2020-11-21,47
4607,8,Ariana Grande,34+35,0,8,1,2020-11-21,47
4608,9,Bad Bunny & Jhay Cortez,Dakiti,0,9,1,2020-11-21,47
4609,10,Cardi B Featuring Megan Thee Stallion,WAP,7,1,13,2020-11-21,47
4610,11,Justin Bieber Featuring Chance The Rapper,Holy,10,3,7,2020-11-21,47
4611,12,Pop Smoke Featuring Lil Baby & DaBaby,For The Night,14,6,18,2020-11-21,47
4612,13,DaBaby Featuring Roddy Ricch,Rockstar,11,1,29,2020-11-21,47
4613,14,Lewis Capaldi,Before You Go,13,9,40,2020-11-21,47
4614,15,Chris Brown & Young Thug,Go Crazy,16,9,26,2020-11-21,47
4615,16,BTS,Dynamite,12,1,11,2020-11-21,47
4616,17,Harry Styles,Watermelon Sugar,15,1,33,2020-11-21,47
4617,18,Luke Combs,Forever After All,2,2,2,2020-11-21,47
4618,19,Ava Max,Kings & Queens,22,19,13,2020-11-21,47
4619,20,Moneybagg Yo,Said Sum,17,17,18,2020-11-21,47
4620,21,Justin Bieber & benny blanco,Lonely,27,14,3,2020-11-21,47
4621,22,Kane Brown With Swae Lee & Khalid,Be Like That,19,19,17,2020-11-21,47
4622,23,Morgan Wallen,More Than My Hometown,23,23,21,2020-11-21,47
"4623,24,""Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne"",Whats Poppin,20,2,39,2020-11-21,47"
4624,25,surf mesa Featuring Emilee,ily,25,25,24,2020-11-21,47
4625,26,AJR,Bang!,28,26,18,2020-11-21,47
4626,27,Lee Brice,One Of Them Girls,26,17,23,2020-11-21,47
4627,28,Jason Aldean,Got What I Got,21,16,23,2020-11-21,47
4628,29,Dua Lipa Featuring DaBaby,Levitating,42,29,5,2020-11-21,47
4629,30,Pop Smoke,What You Know Bout Love,29,25,9,2020-11-21,47
4630,31,Juice WRLD x Marshmello,Come & Go,24,2,17,2020-11-21,47
4631,32,Ariana Grande Featuring Doja Cat,Motive,0,32,1,2020-11-21,47
4632,33,Shawn Mendes,Wonder,32,18,5,2020-11-21,47
4633,34,Russell Dickerson,Love You Like I Used To,37,34,9,2020-11-21,47
4634,35,Ariana Grande Featuring The Weeknd,Off The Table,0,35,1,2020-11-21,47
4635,36,HARDY Featuring Lauren Alaina & Devin Dawson,One Beer,36,36,22,2020-11-21,47
4636,37,Harry Styles,Adore You,31,6,48,2020-11-21,47
4637,38,Parker McCollum,Pretty Heart,43,38,17,2020-11-21,47
4638,39,Pop Smoke Featuring 50 Cent & Roddy Ricch,The Woo,35,11,18,2020-11-21,47
4639,40,Ariana Grande,pov,0,40,1,2020-11-21,47
4640,41,Luke Combs,Better Together,30,30,5,2020-11-21,47
4641,42,Rod Wave Featuring ATR Son Son,Rags2Riches,40,12,19,2020-11-21,47
4642,43,Ariana Grande,Just Like Magic,0,43,1,2020-11-21,47
4643,44,SAINt JHN,Roses,39,4,33,2020-11-21,47
4644,45,Sam Smith,Diamonds,58,45,7,2020-11-21,47
4645,46,Blake Shelton Featuring Gwen Stefani,Happy Anywhere,46,45,15,2020-11-21,47
4646,47,Ariana Grande,Shut Up,0,47,1,2020-11-21,47
4647,48,Michael Jackson,Thriller,0,4,20,2020-11-21,47
4648,49,Ariana Grande,Nasty,0,49,1,2020-11-21,47
4649,50,Dua Lipa,Break My Heart,44,13,32,2020-11-21,47
4650,51,Matt Stell,Everywhere But On,48,48,9,2020-11-21,47
4651,52,Ariana Grande Featuring Ty Dolla $ign,Safety Net,0,52,1,2020-11-21,47
4652,53,Pop Smoke Featuring Lil Tjay,Mood Swings,47,17,18,2020-11-21,47
4653,54,Jack Harlow,Tyler Herro,34,34,2,2020-11-21,47
4654,55,21 Savage & Metro Boomin Featuring Drake,Mr. Right Now,49,10,5,2020-11-21,47
4655,56,Luke Combs,Lovin' On You,41,23,19,2020-11-21,47
4656,57,Jameson Rodgers,Some Girls,45,29,13,2020-11-21,47
4657,58,Dan + Shay,I Should Probably Go To Bed,50,42,14,2020-11-21,47
4658,59,Travis Scott Featuring Young Thug & M.I.A.,Franchise,51,1,6,2020-11-21,47
4659,60,Maluma & The Weeknd,Hawai,64,55,11,2020-11-21,47
4660,61,Tate McRae,You Broke Me First.,55,55,11,2020-11-21,47
4661,62,DJ Khaled Featuring Drake,Popstar,54,3,16,2020-11-21,47
4662,63,Ariana Grande,Six Thirty,0,63,1,2020-11-21,47
"4663,64,Chris Lane,""Big, Big Plans"",67,64,5,2020-11-21,47"
4664,65,Ariana Grande,My Hair,0,65,1,2020-11-21,47
4665,66,Money Man Featuring Lil Baby,24,52,49,12,2020-11-21,47
4666,67,Machine Gun Kelly X blackbear,My Ex's Best Friend,57,28,12,2020-11-21,47
4667,68,Jon Pardi,Ain't Always The Cowboy,65,61,10,2020-11-21,47
4668,69,Chris Stapleton,Starting Over,63,57,10,2020-11-21,47
4669,70,Ariana Grande,Obvious,0,70,1,2020-11-21,47
4670,71,Ariana Grande,West Side,0,71,1,2020-11-21,47
4671,72,Morgan Wallen,7 Summers,60,6,12,2020-11-21,47
4672,73,Juice WRLD,Wishing Well,62,5,17,2020-11-21,47
4673,74,Ne-Yo & Jeremih,U 2 Luv,66,66,5,2020-11-21,47
4674,75,Ariana Grande,Love Language,0,75,1,2020-11-21,47
4675,76,Saweetie,Tap In,59,20,17,2020-11-21,47
4676,77,Jhene Aiko Featuring H.E.R.,B.S.,75,24,14,2020-11-21,47
4677,78,Megan Thee Stallion Featuring Young Thug,Don't Stop,72,30,5,2020-11-21,47
4678,79,SZA Featuring Ty Dolla $ign,Hit Different,68,29,9,2020-11-21,47
4679,80,Trippie Redd,Weeeeee,0,80,1,2020-11-21,47
4680,81,Polo G,Martin & Gina,73,61,14,2020-11-21,47
4681,82,Miley Cyrus,Midnight Sky,56,14,12,2020-11-21,47
4682,83,21 Savage & Metro Boomin,Runnin,61,9,5,2020-11-21,47
4683,84,Conan Gray,Heather,71,46,12,2020-11-21,47
4684,85,Niko Moon,Good Time,81,74,5,2020-11-21,47
4685,86,Harry Styles,Golden,74,74,3,2020-11-21,47
4686,87,BRS Kash,Throat Baby (Go Baby),93,87,3,2020-11-21,47
4687,88,DaBaby,Practice,86,86,2,2020-11-21,47
4688,89,Ritt Momney,Put Your Records On,80,79,5,2020-11-21,47
4689,90,DaBaby Featuring Young Thug,Blind,83,78,7,2020-11-21,47
"4690,91,""Sech, Daddy Yankee & J Balvin Featuring ROSALIA & Farruko"",Relacion,79,64,9,2020-11-21,47"
"4691,92,""Lil Durk, 6LACK & Young Thug"",Stay Down,0,92,1,2020-11-21,47"
4692,93,YoungBoy Never Broke Again,Kacey Talk,85,50,12,2020-11-21,47
4693,94,Lady A,Champagne Night,90,90,3,2020-11-21,47
4694,95,Kelsea Ballerini,Hole In The Bottle,87,87,4,2020-11-21,47
4695,96,Kenny Chesney,Happy Does,92,85,3,2020-11-21,47
4696,97,The Kid LAROI,So Done,77,77,2,2020-11-21,47
4697,98,DJ Chose Featuring BeatKing,Thick,0,98,1,2020-11-21,47
4698,99,Farruko,La Toxica,98,98,2,2020-11-21,47
4699,100,Jason Derulo,Take You Dancing,0,100,1,2020-11-21,47
4700,1,24kGoldn Featuring iann dior,Mood,1,1,14,2020-11-28,48
4701,2,Ariana Grande,Positions,2,1,3,2020-11-28,48
4702,3,Gabby Barrett Featuring Charlie Puth,I Hope,5,3,46,2020-11-28,48
4703,4,Drake Featuring Lil Durk,Laugh Now Cry Later,3,2,13,2020-11-28,48
4704,5,The Weeknd,Blinding Lights,4,1,50,2020-11-28,48
4705,6,Internet Money & Gunna Featuring Don Toliver & NAV,Lemonade,7,6,13,2020-11-28,48
4706,7,Justin Bieber Featuring Chance The Rapper,Holy,11,3,8,2020-11-28,48
4707,8,Bad Bunny & Jhay Cortez,Dakiti,9,8,2,2020-11-28,48
4708,9,Jawsh 685 x Jason Derulo,Savage Love (Laxed - Siren Beat),6,1,22,2020-11-28,48
4709,10,Pop Smoke Featuring Lil Baby & DaBaby,For The Night,12,6,19,2020-11-28,48
4710,11,Cardi B Featuring Megan Thee Stallion,WAP,10,1,14,2020-11-28,48
4711,12,Maluma & The Weeknd,Hawai,60,12,12,2020-11-28,48
4712,13,Chris Brown & Young Thug,Go Crazy,15,9,27,2020-11-28,48
4713,14,DaBaby Featuring Roddy Ricch,Rockstar,13,1,30,2020-11-28,48
4714,15,Ava Max,Kings & Queens,19,15,14,2020-11-28,48
4715,16,Lewis Capaldi,Before You Go,14,9,41,2020-11-28,48
4716,17,BTS,Dynamite,16,1,12,2020-11-28,48
4717,18,Harry Styles,Watermelon Sugar,17,1,34,2020-11-28,48
4718,19,Morgan Wallen,More Than My Hometown,23,19,22,2020-11-28,48
4719,20,Kane Brown With Swae Lee & Khalid,Be Like That,22,19,18,2020-11-28,48
4720,21,Justin Bieber & benny blanco,Lonely,21,14,4,2020-11-28,48
4721,22,Moneybagg Yo,Said Sum,20,17,19,2020-11-28,48
4722,23,surf mesa Featuring Emilee,ily,25,23,25,2020-11-28,48
4723,24,AJR,Bang!,26,24,19,2020-11-28,48
"4724,25,""Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne"",Whats Poppin,24,2,40,2020-11-28,48"
4725,26,Dua Lipa Featuring DaBaby,Levitating,29,26,6,2020-11-28,48
4726,27,Luke Combs,Forever After All,18,2,3,2020-11-28,48
4727,28,Pop Smoke,What You Know Bout Love,30,25,10,2020-11-28,48
4728,29,Lee Brice,One Of Them Girls,27,17,24,2020-11-28,48
4729,30,Ariana Grande,34+35,8,8,2,2020-11-28,48
4730,31,Russell Dickerson,Love You Like I Used To,34,31,10,2020-11-28,48
4731,32,Shawn Mendes,Wonder,33,18,6,2020-11-28,48
4732,33,HARDY Featuring Lauren Alaina & Devin Dawson,One Beer,36,33,23,2020-11-28,48
4733,34,Jason Aldean,Got What I Got,28,16,24,2020-11-28,48
"4734,35,""Mike WiLL Made-It, Nicki Minaj & YoungBoy Never Broke Again"",What That Speed Bout!?,0,35,1,2020-11-28,48"
4735,36,Blake Shelton Featuring Gwen Stefani,Happy Anywhere,46,36,16,2020-11-28,48
4736,37,Parker McCollum,Pretty Heart,38,37,18,2020-11-28,48
4737,38,Juice WRLD x Marshmello,Come & Go,31,2,18,2020-11-28,48
4738,39,Luke Combs,Better Together,41,30,6,2020-11-28,48
4739,40,Sam Smith,Diamonds,45,40,8,2020-11-28,48
4740,41,Pop Smoke Featuring 50 Cent & Roddy Ricch,The Woo,39,11,19,2020-11-28,48
4741,42,Rod Wave Featuring ATR Son Son,Rags2Riches,42,12,20,2020-11-28,48
4742,43,Harry Styles,Adore You,37,6,49,2020-11-28,48
4743,44,Miley Cyrus,Midnight Sky,82,14,13,2020-11-28,48
4744,45,Ariana Grande,pov,40,40,2,2020-11-28,48
4745,46,SAINt JHN,Roses,44,4,34,2020-11-28,48
4746,47,King Von,Took Her To The O,0,47,1,2020-11-28,48
4747,48,Chris Stapleton,Starting Over,69,48,11,2020-11-28,48
4748,49,Dan + Shay,I Should Probably Go To Bed,58,42,15,2020-11-28,48
4749,50,Tate McRae,You Broke Me First.,61,50,12,2020-11-28,48
4750,51,Luke Combs,Lovin' On You,56,23,20,2020-11-28,48
4751,52,21 Savage & Metro Boomin Featuring Drake,Mr. Right Now,55,10,6,2020-11-28,48
4752,53,Pop Smoke Featuring Lil Tjay,Mood Swings,53,17,19,2020-11-28,48
4753,54,Matt Stell,Everywhere But On,51,48,10,2020-11-28,48
4754,55,Travis Scott Featuring Young Thug & M.I.A.,Franchise,59,1,7,2020-11-28,48
"4755,56,Chris Lane,""Big, Big Plans"",64,56,6,2020-11-28,48"
4756,57,Jack Harlow,Tyler Herro,54,34,3,2020-11-28,48
4757,58,Jon Pardi,Ain't Always The Cowboy,68,58,11,2020-11-28,48
4758,59,The Kid LAROI,So Done,97,59,3,2020-11-28,48
4759,60,Machine Gun Kelly X blackbear,My Ex's Best Friend,67,28,13,2020-11-28,48
4760,61,Jhene Aiko Featuring H.E.R.,B.S.,77,24,15,2020-11-28,48
4761,62,Jameson Rodgers,Some Girls,57,29,14,2020-11-28,48
4762,63,Morgan Wallen,7 Summers,72,6,13,2020-11-28,48
4763,64,DJ Khaled Featuring Drake,Popstar,62,3,17,2020-11-28,48
4764,65,NAV Featuring Lil Baby,Don't Need Friends,0,65,1,2020-11-28,48
4765,66,King Von Featuring Polo G,The Code,0,66,1,2020-11-28,48
4766,67,Money Man Featuring Lil Baby,24,66,49,13,2020-11-28,48
4767,68,Ne-Yo & Jeremih,U 2 Luv,74,66,6,2020-11-28,48
4768,69,BRS Kash,Throat Baby (Go Baby),87,69,4,2020-11-28,48
4769,70,Juice WRLD,Wishing Well,73,5,18,2020-11-28,48
4770,71,SZA Featuring Ty Dolla $ign,Hit Different,79,29,10,2020-11-28,48
4771,72,Polo G,Martin & Gina,81,61,15,2020-11-28,48
4772,73,Megan Thee Stallion Featuring Young Thug,Don't Stop,78,30,6,2020-11-28,48
4773,74,Niko Moon,Good Time,85,74,6,2020-11-28,48
4774,75,Lady A,Champagne Night,94,75,4,2020-11-28,48
4775,76,The Kid LAROI Featuring YoungBoy Never Brok Again & Internet Money,Tragic,0,76,1,2020-11-28,48
4776,77,King Von Featuring Lil Durk,All These N**gas,0,77,1,2020-11-28,48
4777,78,Harry Styles,Golden,86,74,4,2020-11-28,48
4778,79,Conan Gray,Heather,84,46,13,2020-11-28,48
4779,80,Ariana Grande Featuring Doja Cat,Motive,32,32,2,2020-11-28,48
